পদার্থবিজ্ঞান ২য় পত্র,তাপগতিবিদ্যা
পদার্থবিজ্ঞান ২য় পত্র,স্থির তড়িৎ
পদার্থবিজ্ঞান ২য় পত্র,চল তড়িৎ
পদার্থবিজ্ঞান ২য় পত্র,তড়িৎ প্রবাহের চৌম্বক ক্রিয়া ও চৌম্বকত্ব
পদার্থবিজ্ঞান ২য় পত্র,তড়িৎচৌম্বকীয় আবেশ
পদার্থবিজ্ঞান ২য় পত্র,জ্যামিতিক আলোকবিজ্ঞান
পদার্থবিজ্ঞান ২য় পত্র,ভৌত আলোকবিজ্ঞান
পদার্থবিজ্ঞান ২য় পত্র,আধুনিক পদার্থ বিজ্ঞান
পদার্থবিজ্ঞান ২য় পত্র,পরমাণুর মডেল ও নিউক্লিয়ার পদার্থবিজ্ঞান
পদার্থবিজ্ঞান ২য় পত্র,সেমিকন্ডাক্টর ও ইলেক্ট্রনিক্স
পদার্থবিজ্ঞান ২য় পত্র,জ্যোতির্বিজ্ঞান
পদার্থবিজ্ঞান ১ম পত্র,ভৌতজগত ও পরিমাপ
পদার্থবিজ্ঞান ১ম পত্র,ভেক্টর
পদার্থবিজ্ঞান ১ম পত্র,গতিবিদ্যা
পদার্থবিজ্ঞান ১ম পত্র,নিউটনিয়ান বলবিদ্যা
পদার্থবিজ্ঞান ১ম পত্র,"কাজ, ক্ষমতা, ও শক্তি"
পদার্থবিজ্ঞান ১ম পত্র,মহাকর্ষ ও অভিকর্ষ
পদার্থবিজ্ঞান ১ম পত্র,পদার্থের গাঠনিক ধর্ম
পদার্থবিজ্ঞান ১ম পত্র,পর্যায়বৃত্ত গতি
পদার্থবিজ্ঞান ১ম পত্র,তরঙ্গ
পদার্থবিজ্ঞান ১ম পত্র,আদর্শ গ্যাস ও গ্যাসের গতিতত্ত্ব
রসায়ন ১ম পত্র,ল্যাবরেটরির নিরাপদ ব্যবহার
রসায়ন ১ম পত্র,গুণগত রসায়ন
রসায়ন ১ম পত্র,মৌলের পর্যায়বৃত্ত ধর্ম ও রাসায়নিক বন্ধন
রসায়ন ১ম পত্র,রাসায়নিক পরিবর্তন
রসায়ন ১ম পত্র,কর্মমুখী রসায়ন
রসায়ন ২য় পত্র,পরিবেশ রসায়ন
রসায়ন ২য় পত্র,জৈব যৌগ
রসায়ন ২য় পত্র,পরিমাণগত রসায়ন
রসায়ন ২য় পত্র,তড়িৎ রসায়ন
রসায়ন ২য় পত্র,অর্থনৈতিক রসায়ন
উচ্চতর গণিত ১ম পত্র,ম্যাট্রিক্স ও নির্ণায়ক
উচ্চতর গণিত ১ম পত্র,ভেক্টর
উচ্চতর গণিত ১ম পত্র,সরলরেখা
উচ্চতর গণিত ১ম পত্র,বৃত্ত
উচ্চতর গণিত ১ম পত্র,বিন্যাস ও সমাবেশ
উচ্চতর গণিত ১ম পত্র,ত্রিকোণমিতিক অনুপাত
উচ্চতর গণিত ১ম পত্র,সংযুক্ত ও যৌগিক কোণের ত্রিকোণমিতিক অনুপাত
